name,address,zipcode,price_low,price_high,layout,amenities,link,phone_number
Presidential Towers,"555 W Madison St, Chicago, IL",60661,"$1,520","$7,765",Studio - 2 Beds,"Pets Allowed, Fitness Center, Grill, Courtyard",https://www.apartments.com/presidential-towers-chicago-il/dsd9v8j/,(708) 725-1991
Elevate,"930 W Altgeld St, Chicago, IL",60614,"$2,360","$14,730",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Kitchen, In Unit Washer & Dryer, Clubhouse",https://www.apartments.com/elevate-chicago-il/nzfe70p/,(708) 512-8807
The Residences at NewCity,"1457 N Halsted St, Chicago, IL",60642,"$2,236","$4,795",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/the-residences-at-newcity-chicago-il/wg6wcxl/,(708) 919-2291
MILA,"201 N Garland Ct, Chicago, IL",60601,"$2,486","$5,047",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Package Service",https://www.apartments.com/mila-chicago-il/ettmcgm/,(844) 789-2621
Sentral Michigan Avenue,"808 S Michigan Ave, Chicago, IL",60605,"$1,950","$17,994",Studio - 4 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, Stainless Steel Appliances",https://www.apartments.com/sentral-michigan-avenue-chicago-il/begd58b/,(708) 797-6742
The 808 Cleveland,"808 N Cleveland Ave, Chicago, IL",60610,"$1,238","$5,529",Studio - 4 Beds,"Pets Allowed, Fitness Center, Pool, Stainless Steel Appliances, Business Center, Package Service",https://www.apartments.com/the-808-cleveland-chicago-il/zjt55rw/,(708) 934-9407
Post,"853 W Blackhawk St, Chicago, IL",60642,"$1,154","$3,995",Studio - 4 Beds,"Pets Allowed, Fitness Center, In Unit Washer & Dryer, Controlled Access, EV Charging, Furnished",https://www.apartments.com/post-chicago-il/bdv81bb/,(224) 935-9769
180 North Jefferson,"180 N Jefferson St, Chicago, IL",60661,"$2,367","$4,046",Studio - 3 Beds,"Fitness Center, Dishwasher, In Unit Washer & Dryer, Walk-In Closets, Business Center, Package Service, Granite Countertops",https://www.apartments.com/180-north-jefferson-chicago-il/ke04rvb/,(708) 303-6736
Shoreham and Tides,"400 E South Water St, Chicago, IL",60601,"$2,211","$5,407",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, High-Speed Internet, Concierge",https://www.apartments.com/shoreham-and-tides-chicago-il/gn61yxz/,(708) 775-3187
Left Bank,"300 N Canal St, Chicago, IL",60606,"$2,366","$10,000",Studio - 3 Beds,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer",https://www.apartments.com/left-bank-chicago-il/9wckdm5/,(708) 725-0913
727 West Madison,"727 W Madison St, Chicago, IL",60661,"$2,076","$9,876",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer",https://www.apartments.com/727-west-madison-chicago-il/4v3vzkh/,(708) 797-7069
