name,address,zipcode,price_low,price_high,layout,amenities,link,phone_number
1515 Surf Ave,"1515 Surf Ave, Brooklyn, NY",11224,"$3,125","$5,525",1-2 Beds,"Pets Allowed, Fitness Center, Pool, Refrigerator, Kitchen, In Unit Washer & Dryer",https://www.apartments.com/1515-surf-brooklyn-ny/65t9ffv/,(929) 552-9253
One Park Point,"11 Ocean Pky, Brooklyn, NY",11218,"$3,325","$8,000",1-2 Beds,"Fitness Center, In Unit Washer & Dryer, Package Service, Concierge, Rooftop Deck",https://www.apartments.com/one-park-point-brooklyn-ny/9e1r166/,(929) 552-8942
The Riverdale Tower,"3745 Riverdale Ave, The Bronx, NY",10463,"$2,200","$4,750",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, Heat, Courtyard, Elevator, Laundry Facilities",https://www.apartments.com/the-riverdale-tower-the-bronx-ny/db9r3kj/,(914) 313-3816
The Station Apartments,"5959 Broadway, Bronx, NY",10463,"$1,750","$2,300",Studio - 1 Bed,"Pets Allowed, Fitness Center, Refrigerator, Range, Microwave, CableReady",https://www.apartments.com/the-station-apartments-bronx-ny/2vjnkfb/,(914) 768-4947
The Equestrian At Pelham Parkway,"1680 Pelham Pkwy S, Bronx, NY",10461,"$1,700","$2,650",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer",https://www.apartments.com/the-equestrian-at-pelham-parkway-bronx-ny/80g1zt0/,(914) 768-1730
The Bold,"2701 Jackson Ave, Long Island City, NY",11101,"$3,408","$8,695",Studio - 3 Beds,"Pets Allowed, Fitness Center, In Unit Washer & Dryer, Stainless Steel Appliances, Package Service, Hardwood Floors, Elevator",https://www.apartments.com/the-bold-long-island-city-ny/vh5hy3f/,(855) 578-0419
The Reserve,"212 E 125th St, New York, NY",10035,"$1,584","$4,107",Studio - 4 Beds,"Fitness Center, Pavillon, High-Speed Internet, Private Bathroom, Individual Locking Bedrooms",https://www.apartments.com/the-reserve-new-york-ny/3w6dcsd/,(551) 295-7887
View 34,"401 E 34th St, New York, NY",10016,"$3,457","$8,171",Studio - 3 Beds,"Pets Allowed, Fitness Center, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",https://www.apartments.com/view-34-new-york-ny/938hg25/,(551) 465-9274
10 Hanover Square,"110-124 Pearl St, New York, NY",10005,"$3,491","$6,999",Studio - 3 Beds,"Pets Allowed, Kitchen, Walk-In Closets, Pavillon, Maintenance on site, High-Speed Internet",https://www.apartments.com/10-hanover-square-new-york-ny/1wxy6j5/,(929) 552-5459
Park Towers South,"315 W 57th St, New York, NY",10019,"$3,899","$5,999",1-2 Beds,"Fitness Center, Dishwasher, Kitchen, Walk-In Closets, Range, Maintenance on site",https://www.apartments.com/park-towers-south-new-york-ny/xc7j4tn/,(917) 672-3380
95 Wall St,"95 Wall St, New York, NY",10005,"$3,525","$7,593",Studio - 3 Beds,"Pets Allowed, Fitness Center, Refrigerator, In Unit Washer & Dryer, Walk-In Closets, High-Speed Internet",https://www.apartments.com/95-wall-new-york-ny/b815kt8/,(929) 552-4351
The Heritage House,"1660 Madison Ave, New York, NY",10029,"$1,650","$2,280",Studio,"Kitchen, In Unit Washer & Dryer, Heat, High-Speed Internet, Elevator, Laundry Facilities, Concierge",https://www.apartments.com/the-heritage-house-new-york-ny/wxgrrzh/,(646) 417-9604
2-20 Malt Dr,"2-20 Malt Dr, Long Island City, NY",11101,"$2,490","$3,590",Studio - 2 Beds,"Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer",https://www.apartments.com/2-20-malt-dr-long-island-city-ny/18wzfv4/,(646) 603-1542
The Greenpoint,"21 India St, Brooklyn, NY",11222,"$4,159","$6,399",Studio - 3 Beds,"Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, Balcony, Range",https://www.apartments.com/the-greenpoint-brooklyn-ny/pnhp7hs/,(201) 380-8035
MODA,"153-30 89th Ave, Jamaica, NY",11432,"$2,755","$2,795",1 Bed,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, Walk-In Closets",https://www.apartments.com/moda-jamaica-ny/kl2p7vb/,(929) 552-3832
Waterline Square,"400 W 61st St, New York, NY",10023,"$4,806","$27,995",Studio - 4 Beds,,https://www.apartments.com/waterline-square-new-york-ny/ewlwn1n/,(551) 302-3479
Yorkshire Towers,"305-315 E 86th St, New York, NY",10028,"$4,000","$14,249",Studio - 3 Beds,,https://www.apartments.com/yorkshire-towers-new-york-ny/bzg2v49/,(201) 591-1636
7 Dekalb,"1 Dekalb Ave, Brooklyn, NY",11201,"$3,702","$6,701",1-2 Beds,,https://www.apartments.com/7-dekalb-brooklyn-ny/rztegz0/,(929) 552-8597
Parkchester,"2000 E Tremont Ave, Bronx, NY",10462,"$1,335","$3,000",Studio - 3 Beds,,https://www.apartments.com/parkchester-bronx-ny/e3s3rfm/,(914) 613-6765
Pod Pads,"400 W 42nd St, New York, NY",10036,"$4,500","$9,000",1-2 Beds,,https://www.apartments.com/pod-pads-new-york-ny/c6e9d5d/,(973) 798-9644
Serrano,"1735 York Ave, New York, NY",10128,"$4,995","$8,600",1-3 Beds,,https://www.apartments.com/serrano-new-york-ny/ghtdhdz/,(914) 627-6712
605 W 112th St,"605 W 112th St, New York, NY",10025,"$3,200","$3,700",1 Bed,,https://www.apartments.com/605-w-112th-st-new-york-ny/d3d8s8j/,(551) 465-5242
Gateway Battery Park City,"345-395 South End Ave, New York, NY",10280,"$3,685","$7,272",Studio - 2 Beds,,https://www.apartments.com/gateway-battery-park-city-new-york-ny/rlcl211/,(973) 528-7201
The Octagon,"888 Main St, New York, NY",10044,"$3,104","$7,334",Studio - 3 Beds,,https://www.apartments.com/the-octagon-new-york-ny/9w36sk7/,(201) 596-8854
Marquis Apartments,"150 E 34th St, New York, NY",10016,"$3,485","$4,750",Studio - 1 Bed,,https://www.apartments.com/marquis-apartments-new-york-ny/73ymnfy/,(201) 720-1128
National at 888 6th Ave Furnished Apartments,"888 6th Ave, New York, NY",10001,"$4,500","$14,970",Studio - 2 Beds,,https://www.apartments.com/national-at-888-6th-ave-furnished-apartments-new-york-ny/0smfmv0/,(551) 261-4068
TERRA,"45-19 Davis St, Long Island City, NY",11101,"$3,725","$7,100",Studio - 2 Beds,,https://www.apartments.com/terra-long-island-city-ny/thsdmnc/,(877) 537-8320
Luxe By Russos,"241-15 Northern Blvd, Flushing, NY",11362,"$3,200","$5,000",Studio - 2 Beds,,https://www.apartments.com/luxe-by-russos-flushing-ny/5y0844m/,(516) 619-1865
The Exo,"26-38 21st St, Astoria, NY",11102,"$2,600","$4,150",Studio - 2 Beds,,https://www.apartments.com/the-exo-astoria-ny/9krqbl6/,(551) 302-3818
4706 49th St Unit 1-1E,"4706 49th St, Woodside, NY",11377,"$2,300","$2,300",Studio,,https://www.apartments.com/4706-49th-st-woodside-ny/dph1d9j/,(201) 482-3802
LeFrak City,"96-02-96-40 57th Ave, Corona, NY",11368,"$3,000","$3,210",Studio - 3 Beds,,https://www.apartments.com/lefrak-city-corona-ny/569nt2p/,(201) 676-9303
The Vitagraph,"1277 E 14th St, Brooklyn, NY",11230,"$2,604","$3,125",1-2 Beds,,https://www.apartments.com/the-vitagraph-brooklyn-ny/21jytlc/,(929) 552-3637
Barclays II - B14 - 535 Carlton Ave,"535 Carlton Ave, Brooklyn, NY",11238,"$2,169","$3,320",Studio - 3 Beds,,https://www.apartments.com/barclays-ii-b14-535-carlton-ave-brooklyn-ny/vrqvrrg/,(929) 552-9056
Barclays I - B3 - 38 6th Ave,"38 6th Ave, Brooklyn, NY",11217,"$2,121","$3,287",Studio - 3 Beds,,https://www.apartments.com/barclays-i-b3-38-6th-ave-brooklyn-ny/xw2jtcp/,(929) 552-3944
Biltmore Plaza,"155 E 29th St, New York, NY",10016,"$4,320","$4,320",1 Bed,,https://www.apartments.com/biltmore-plaza-new-york-ny/h26j1b1/,(424) 347-1607
VIA 57 WEST,"625 W 57th St, New York, NY",10019,"$4,203","$8,197",Studio - 2 Beds,,https://www.apartments.com/via-57-west-new-york-ny/7tc4rkx/,(929) 552-0445
One Lincoln Plaza,"20 W 64th St, New York, NY",10023,"$5,395","$6,100",1 Bed,,https://www.apartments.com/one-lincoln-plaza-new-york-ny/c5thyge/,(201) 379-2853
Normandie Court,"1849 2nd Ave, New York, NY",10128,"$3,150","$6,033",Studio - 2 Beds,,https://www.apartments.com/normandie-court-new-york-ny/6z0przr/,(551) 230-7750
444 W 58th St,"444 W 58th St, New York, NY",10019,"$4,000","$6,900",2-3 Beds,,https://www.apartments.com/444-w-58th-st-new-york-ny/7twrmww/,(855) 305-4582
