address,zipcode,price,housing_type,status,layout,link
"8 E Randolph Street 2505, Chicago, IL 60601",60601,"$460,000",Condominium,Active,"['2BEDS', '2TOTAL BATHS', '1,350SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12024035/Chicago/8-E-Randolph-Street-2505
"363 E Wacker Drive 6301, Chicago, IL 60601",60601,"$4,250,000",Condominium,Active,"['3BEDS', '3TOTAL BATHS', '3,448SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12254744/Chicago/363-E-Wacker-Drive-6301
"363 E Wacker Drive 3501, Chicago, IL 60601",60601,"$1,950,000",Condominium,Active,"['3BEDS', '2TOTAL BATHS', '2,480SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12223042/Chicago/363-E-Wacker-Drive-3501
"211 N Harbor Drive 3704, Chicago, IL 60601",60601,"$1,220,000",Condominium,Active,"['2BEDS', '2TOTAL BATHS', '1,251SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12196941/Chicago/211-N-Harbor-Drive-3704
"8 E Randolph Street 2502, Chicago, IL 60601 Joffrey Tower Subdivision",60601,"$325,000",Condominium,Active,"['1BED', '1TOTAL BATH', '934SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12216647/Chicago/8-E-Randolph-Street-2502
"363 E Wacker Drive 3703, Chicago, IL 60601",60601,"$1,975,000",Condominium,Active,"['2BEDS', '3TOTAL BATHS', '2,200SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12218191/Chicago/363-E-Wacker-Drive-3703
"155 N HARBOR Drive 4004, Chicago, IL 60601 Harbor Point Subdivision",60601,"$475,000",Condominium,Active,"['1BED', '2TOTAL BATHS', '998SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12220226/Chicago/155-N-HARBOR-Drive-4004
"400 E Randolph Street 1710, Chicago, IL 60601",60601,"$459,500",Condominium,Active,"['2BEDS', '2TOTAL BATHS', '1,250SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12203882/Chicago/400-E-Randolph-Street-1710
"222 N Columbus Drive 2706, Chicago, IL 60601 Park Millennium Subdivision",60601,"$260,000",Condominium,Active,"['1BED', '1TOTAL BATH', '685SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12219246/Chicago/222-N-Columbus-Drive-2706
"201 N WESTSHORE Drive 907, Chicago, IL 60601 Lancaster Subdivision",60601,"$599,000",Condominium,Active,"['2BEDS', '2TOTAL BATHS', '1,446SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12213658/Chicago/201-N-WESTSHORE-Drive-907
"155 N Harbor Drive 1103, Chicago, IL 60601 Harbor Point Subdivision",60601,"$565,000",Condominium,Active,"['2BEDS', '2TOTAL BATHS', '1,400SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12210715/Chicago/155-N-Harbor-Drive-1103
"400 E Randolph Street 1618, Chicago, IL 60601",60601,"$279,900",Condominium,Active Under Contract,"['1BED', '1TOTAL BATH', '825SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12209169/Chicago/400-E-Randolph-Street-1618
"201 N Westshore Drive 2108, Chicago, IL 60601",60601,"$570,000",Condominium,Active,"['2BEDS', '3TOTAL BATHS', '1,300SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12213679/Chicago/201-N-Westshore-Drive-2108
"225 N Columbus Drive 8008, Chicago, IL 60601",60601,"$1,599,995",Condominium,Active,"['2BEDS', '3TOTAL BATHS', '1,900SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12208715/Chicago/225-N-Columbus-Drive-8008
"420 E Waterside Drive 3204, Chicago, IL 60601",60601,"$395,000",Condominium,Active,"['1BED', '1TOTAL BATH', '850SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12214038/Chicago/420-E-Waterside-Drive-3204
"450 E Waterside Drive 2805, Chicago, IL 60601",60601,"$380,000",Condominium,Active,"['1BED', '1TOTAL BATH', '904SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12213240/Chicago/450-E-Waterside-Drive-2805
"195 N Harbor Drive 2406, Chicago, IL 60601",60601,"$525,000",Condominium,Active,"['3BEDS', '2TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12212907/Chicago/195-N-Harbor-Drive-2406
"225 N Columbus Drive 5408, Chicago, IL 60601",60601,"$465,900",Condominium,Active,"['1BED', '1TOTAL BATH', '650SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12212440/Chicago/225-N-Columbus-Drive-5408
"200 N Dearborn Street 3008, Chicago, IL 60601",60601,"$255,000",Condominium,Active,"['1BED', '1TOTAL BATH', '770SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12206399/Chicago/200-N-Dearborn-Street-3008
"155 N HARBOR Drive 1312-13, Chicago, IL 60601 Harbor Point Subdivision",60601,"$1,375,000",Condominium,Active,"['3BEDS', '4TOTAL BATHS', '2,500SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12211663/Chicago/155-N-HARBOR-Drive-1312-13
"130 N GARLAND Court 57C, Chicago, IL 60602",60602,"$3,250,000",Condominium,Active,"['4BEDS', '4TOTAL BATHS', '5,000SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12103892/Chicago/130-N-GARLAND-Court-57C
"130 N Garland Court 2711-12, Chicago, IL 60602 Heritage at Millennium Park Subdivision",60602,"$2,495,000",Condominium,Active,"['3BEDS', '4TOTAL BATHS', '4,350SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12011146/Chicago/130-N-Garland-Court-2711-12
"130 N Garland Court 5301, Chicago, IL 60602 Heritage at Millennium Park Subdivision",60602,"$1,909,999",Condominium,Active,"['4BEDS', '5TOTAL BATHS', '3,310SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12171126/Chicago/130-N-Garland-Court-5301
"130 N Garland Court 4301, Chicago, IL 60602 Heritage at Millennium Park Subdivision",60602,"$1,200,000",Condominium,Active Under Contract,"['3BEDS', '3TOTAL BATHS', '2,157SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12075736/Chicago/130-N-Garland-Court-4301
"6 N Michigan Avenue 503, Chicago, IL 60602",60602,"$1,195,000",Condominium,Active,"['3BEDS', '4TOTAL BATHS', '3,015SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12013829/Chicago/6-N-Michigan-Avenue-503
"130 N Garland Court 3501, Chicago, IL 60602 Heritage at Millennium Park Subdivision",60602,"$1,100,000",Condominium,Active,"['3BEDS', '3TOTAL BATHS', '2,157SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12216449/Chicago/130-N-Garland-Court-3501
"130 N Garland Court 3803, Chicago, IL 60602 Heritage at Millennium Park Subdivision",60602,"$1,075,000",Condominium,Active,"['2BEDS', '3TOTAL BATHS', '1,758SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12051428/Chicago/130-N-Garland-Court-3803
"130 N Garland Court 4103, Chicago, IL 60602 Heritage at Millennium Park Subdivision",60602,"$899,000",Condominium,Active,"['3BEDS', '3TOTAL BATHS', '1,758SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12003443/Chicago/130-N-Garland-Court-4103
"6 N MICHIGAN Avenue 903, Chicago, IL 60602",60602,"$849,000",Condominium,Active,"['3BEDS', '3TOTAL BATHS', '1,979SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12210762/Chicago/6-N-MICHIGAN-Avenue-903
"130 N GARLAND Court 1701, Chicago, IL 60602",60602,"$699,999",Condominium,Active,"['2BEDS', '2TOTAL BATHS', '1,544SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12173394/Chicago/130-N-GARLAND-Court-1701
"130 N Garland Court 1709, Chicago, IL 60602",60602,"$615,000",Condominium,Active,"['2BEDS', '2TOTAL BATHS', '1,300SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12214841/Chicago/130-N-Garland-Court-1709
"6 N MICHIGAN Avenue 1202, Chicago, IL 60602",60602,"$539,900",Condominium,Active,"['2BEDS', '2TOTAL BATHS', '1,291SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12176285/Chicago/6-N-MICHIGAN-Avenue-1202
"130 N Garland Court 2608, Chicago, IL 60602",60602,"$344,900",Condominium,Active,"['1BED', '1TOTAL BATH', '809SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12223158/Chicago/130-N-Garland-Court-2608
"20 N State Street 1006, Chicago, IL 60602",60602,"$335,000",Condominium,Active Under Contract,"['2BEDS', '1TOTAL BATH', '900SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12157378/Chicago/20-N-State-Street-1006
"6 N Michigan Avenue 705, Chicago, IL 60602",60602,"$299,000",Condominium,Active,"['1BED', '1TOTAL BATH', '906SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12203973/Chicago/6-N-Michigan-Avenue-705
"6 N Michigan Avenue 1004, Chicago, IL 60602",60602,"$298,000",Condominium,Pending,"['1BED', '1TOTAL BATH', '900SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12104064/Chicago/6-N-Michigan-Avenue-1004
"20 N State Street 501, Chicago, IL 60602",60602,"$240,000",Condominium,Active,"['1BED', '1TOTAL BATH', '755SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12255077/Chicago/20-N-State-Street-501
"20 N State Street 905, Chicago, IL 60602",60602,"$239,000",Condominium,Active,"['1BED', '1TOTAL BATH', '800SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12154330/Chicago/20-N-State-Street-905
"5 N Wabash Avenue 1605, Chicago, IL 60602",60602,"$237,000",Condominium,Active,"['1BED', '1TOTAL BATH', '850SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12217906/Chicago/5-N-Wabash-Avenue-1605
"5 N WABASH Avenue 706, Chicago, IL 60602",60602,"$229,500",Condominium,Active Under Contract,"['1BED', '1TOTAL BATH']",https://bestchicagoproperties.com/listings/listing/MRED/12195774/Chicago/5-N-WABASH-Avenue-706
"60 E MONROE Street 2606, Chicago, IL 60603 The Legacy at Millennium Park Subdivision",60603,"$449,900",Condominium,Active,"['1BED', '2TOTAL BATHS', '975SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12179163/Chicago/60-E-MONROE-Street-2606
"8 W Monroe Street 1005, Chicago, IL 60603 Metropolis Condominiums Subdivision",60603,"$225,000",Condominium,Active,"['1BED', '1TOTAL BATH', '709SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12183962/Chicago/8-W-Monroe-Street-1005
