,Zip Code,Total population,Population Under 5 years,Population 5 to 9 years,Population 10 to 14 years,Population 15 to 19 years,Population 20 to 24 years,Population 25 to 29 years,Population 30 to 34 years,Population 35 to 39 years,Population 40 to 44 years,Population 45 to 49 years,Population 50 to 54 years,Population 55 to 59 years,Population 60 to 64 years,Population 65 to 69 years,Population 70 to 74 years,Population 75 to 79 years,Population 80 to 84 years,Population 85 years and over
0,60601,"16,292",657,383,254,409,"1,650","3,085","2,254","1,828",820,784,545,726,775,"1,031",503,453,134,1
1,60602,"1,127",61,62,20,72,124,191,365,0,18,40,92,21,20,22,1,0,18,0
2,60603,"1,126",8,12,13,54,261,31,198,49,42,52,61,47,96,97,85,4,16,0
3,60604,653,0,0,0,33,0,61,208,17,13,5,38,32,90,52,24,61,19,0
4,60605,"34,256","1,248",954,623,"2,148","2,913","6,252","5,736","3,677","1,691","1,388","1,003","1,103","1,408","1,071","1,258","1,161",316,306
5,60606,"3,527",66,48,0,0,494,611,560,671,272,132,259,195,63,25,27,104,0,0
6,60607,"30,197","1,282",852,546,"2,395","3,645","5,088","4,838","3,150","2,442","1,598","1,223",725,982,460,232,306,20,413
7,60608,"81,459","3,407","3,571","4,241","4,073","7,666","9,305","9,187","7,080","5,819","4,296","4,846","4,737","4,026","3,903","2,343","1,335",739,885
8,60609,"64,268","3,611","4,198","5,248","5,036","4,244","5,268","4,344","4,376","5,023","4,475","4,144","3,984","2,935","2,711","2,050","1,353",611,657
9,60610,"45,282","1,292","1,198",982,"1,637","4,520","9,756","6,479","2,975","1,775","1,605","1,901","2,231","2,260","1,883","1,857","1,270",759,902
10,60611,"36,036","1,017",574,600,184,"3,281","6,209","4,096","2,945","2,286","1,184","1,232","2,884","2,153","2,047","2,197","1,311","1,001",835
11,60612,"34,699","1,412","2,162","2,289","1,908","2,405","3,667","3,417","2,896","2,961","2,416","1,903","1,809","1,645","1,435","1,214",450,415,295
12,60613,"51,334","2,299","1,646","1,259",889,"4,358","8,746","7,451","5,802","3,292","2,797","3,037","2,277","2,239","1,793","1,512",759,503,675
13,60614,"70,444","3,243","2,666","2,601","4,042","7,582","12,685","8,913","4,959","3,661","3,189","3,458","3,247","3,186","2,081","1,938","1,426",826,741
14,60615,"42,752","1,725","1,906","2,054","2,458","4,331","5,110","3,740","3,334","2,805","2,160","2,279","2,415","2,399","2,209","1,659","1,075",562,531
15,60616,"54,456","2,355","1,757","2,346","2,141","3,916","5,949","5,902","4,621","3,212","3,335","3,450","3,271","3,026","2,966","2,206","1,404","1,038","1,561"
16,60617,"79,284","4,679","4,870","6,702","5,171","4,887","4,933","5,025","4,797","5,038","4,219","4,914","4,862","5,266","4,531","3,654","2,193","1,419","2,124"
17,60618,"91,896","6,005","4,903","5,316","4,728","4,861","8,202","10,653","9,135","8,087","6,693","5,392","5,125","3,914","2,409","2,916","1,414","1,024","1,119"
18,60619,"59,892","3,224","2,853","3,634","3,931","3,408","4,167","3,824","3,871","3,742","2,903","3,937","4,518","4,323","3,619","2,849","2,053","1,360","1,676"
19,60620,"66,511","4,326","3,565","5,039","4,625","4,038","4,390","4,210","4,039","4,173","2,821","4,578","4,230","3,679","3,908","2,915","2,679","1,708","1,588"
20,60621,"27,318","1,192","1,508","1,877","1,956","1,466","2,334","1,801","1,687","1,693","1,516","1,657","2,004","1,891","1,655","1,035",577,694,775
21,60622,"53,696","3,034","1,742","1,520",963,"2,977","10,431","11,044","6,054","4,074","2,299","2,516","1,559","1,512","1,125","1,018",654,506,668
22,60623,"77,061","5,003","4,960","5,674","5,953","5,058","6,645","5,064","4,913","4,984","5,217","4,284","4,531","3,998","3,034","3,669","1,943","1,025","1,106"
23,60624,"35,711","2,378","2,245","3,215","2,889","2,632","2,833","2,130","2,492","2,236","1,990","1,301","2,305","2,823","1,618",749,777,622,476
24,60625,"78,467","4,377","4,245","3,883","4,813","5,431","6,423","8,226","8,866","5,920","4,872","5,195","3,942","3,363","3,364","1,965","1,381","1,105","1,096"
25,60626,"50,027","2,397","2,093","1,664","3,171","4,981","4,787","4,961","4,120","3,498","3,498","2,731","3,625","2,662","1,851","1,831","1,007",582,568
26,60628,"59,212","3,221","3,327","3,697","3,212","4,091","4,501","3,334","3,309","3,392","3,382","4,249","3,623","4,120","2,707","3,215","2,008","1,986","1,838"
27,60629,"109,292","7,201","7,758","8,144","8,155","9,933","7,548","6,740","6,176","8,057","8,162","6,906","5,344","5,044","3,379","3,832","4,108","1,493","1,312"
28,60630,"54,242","3,321","2,915","2,492","2,698","3,028","2,867","4,349","4,469","3,867","3,840","4,001","3,154","4,083","3,858","2,379","1,225",850,846
29,60631,"30,308","2,114","2,270","1,649","1,397","1,282","1,194","1,638","2,856","1,520","1,759","2,579","2,251","1,868","1,739","1,274",739,677,"1,502"
30,60632,"87,831","4,676","5,212","7,659","6,463","6,953","6,534","6,990","5,304","5,541","5,594","5,832","6,243","4,326","3,073","3,130","2,156",786,"1,359"
31,60633,"12,485",556,"1,102",940,720,591,763,897,"1,051",645,570,"1,015",817,751,798,458,299,223,289
32,60634,"74,418","3,294","3,766","5,532","4,460","4,061","4,009","5,248","4,896","5,750","5,057","6,292","5,447","5,310","3,227","3,048","2,307","1,353","1,361"
33,60636,"31,007","1,983","1,864","1,864","2,189","2,352","2,380","2,774","1,838","1,691","1,439",917,"2,348","1,802","1,477","1,546","1,215",719,609
34,60637,"52,418","2,942","3,645","2,972","5,861","5,183","4,388","3,753","2,686","3,023","2,701","2,671","2,440","3,105","2,675","1,589","1,103",782,899
35,60638,"58,250","3,267","4,472","3,951","3,745","3,006","3,581","3,862","4,570","3,705","4,587","4,051","3,323","3,610","3,099","1,796","1,334",988,"1,303"
36,60639,"84,505","5,220","5,678","6,248","6,433","6,159","5,267","5,721","6,380","5,348","5,507","5,033","4,563","5,082","4,372","3,323","1,813","1,172","1,186"
37,60640,"66,884","2,878","2,203","1,509","1,639","3,742","9,153","8,892","7,680","4,898","3,966","4,023","4,341","3,020","2,694","1,640","1,749","1,369","1,488"
38,60641,"67,400","4,153","3,963","3,997","3,902","3,877","4,555","5,994","5,304","5,274","4,897","4,905","4,152","4,020","2,823","2,471","1,355",830,928
39,60642,"21,124","1,046",329,315,384,"1,210","4,994","4,199","2,771","1,402","1,116",732,704,525,747,249,174,133,94
40,60643,"47,802","2,607","2,862","3,801","2,862","2,366","2,292","3,000","2,552","2,993","2,795","3,267","3,226","3,465","2,931","2,276","1,393","1,346","1,768"
41,60644,"48,317","3,876","3,555","3,384","2,901","2,754","2,985","3,587","2,810","3,733","2,814","3,588","1,992","3,296","2,625","1,868","1,094",829,626
42,60645,"46,856","3,700","3,382","3,620","2,721","2,428","3,328","2,980","2,405","3,455","3,400","3,018","2,739","2,579","3,060","1,504","1,227",791,519
43,60646,"28,499","1,939","2,004","1,413","1,833",923,"1,287","1,662","1,985","2,232","1,682","1,560","1,801","2,365","1,648","1,778",980,638,769
44,60647,"85,589","5,304","4,039","3,209","3,103","5,560","13,206","14,129","9,924","5,781","4,586","3,542","3,551","2,975","2,456","1,552","1,084",584,"1,004"
45,60649,"48,720","3,174","3,061","2,607","2,023","2,424","4,229","4,123","2,978","3,301","2,587","3,178","3,115","3,696","3,140","2,218","1,107",854,905
46,60651,"63,892","4,325","3,999","5,282","4,597","4,729","4,833","4,398","4,101","4,194","4,223","3,406","3,887","3,578","2,728","2,613","1,209",821,969
47,60652,"41,431","2,108","2,500","3,020","3,220","2,835","2,881","2,676","2,452","3,022","2,783","2,802","2,418","3,097","2,232","1,394",929,481,581
48,60653,"34,608","2,774","1,719","2,445","2,167","2,022","2,706","2,947","2,517","1,700","1,921","2,360","1,715","1,900","1,780","1,612",845,608,870
49,60654,"24,303",722,299,129,214,"2,013","6,238","4,193","2,679","1,681",906,"1,264","1,172",998,774,642,178,109,92
50,60655,"27,794","1,702","1,846","2,332","1,902","1,375","1,115","1,645","1,656","2,163","1,845","1,975","1,997","1,971","1,555","1,219",648,400,448
