NAME,DP04_0001E,DP04_0003E,DP04_0004E,DP04_0005E,zip code tabulation area
ZCTA5 60601,10837,1585,3.3,7.3,60601
ZCTA5 60602,468,0,0.0,0.0,60602
ZCTA5 60603,940,266,3.0,21.5,60603
ZCTA5 60604,506,54,0.0,5.7,60604
ZCTA5 60605,20573,1756,0.0,6.7,60605
ZCTA5 60606,2997,331,0.0,11.2,60606
ZCTA5 60607,15260,1786,0.5,8.2,60607
ZCTA5 60608,31480,2399,0.5,4.3,60608
ZCTA5 60609,25940,2967,3.2,3.4,60609
ZCTA5 60610,29476,3854,2.5,9.2,60610
ZCTA5 60611,28021,4967,3.1,7.3,60611
ZCTA5 60612,16475,2220,2.4,4.8,60612
ZCTA5 60613,31010,2573,2.8,3.7,60613
ZCTA5 60614,37640,3572,1.9,7.2,60614
ZCTA5 60615,24950,2460,0.8,5.7,60615
ZCTA5 60616,26173,1429,0.4,4.7,60616
ZCTA5 60617,35403,5097,1.7,1.6,60617
ZCTA5 60618,40692,3632,1.1,5.7,60618
ZCTA5 60619,33461,5358,2.1,5.6,60619
ZCTA5 60620,30537,4387,2.8,7.1,60620
ZCTA5 60621,15492,4358,8.0,5.6,60621
ZCTA5 60622,27204,2116,1.1,3.5,60622
ZCTA5 60623,30918,3954,1.0,5.8,60623
ZCTA5 60624,16125,2767,1.5,3.1,60624
ZCTA5 60625,33442,2208,1.0,5.3,60625
ZCTA5 60626,26293,2833,1.6,7.2,60626
ZCTA5 60628,29234,5902,2.7,8.1,60628
ZCTA5 60629,36227,2402,0.8,7.8,60629
ZCTA5 60630,23341,2001,1.4,6.0,60630
ZCTA5 60631,12685,708,0.9,7.9,60631
ZCTA5 60632,28601,1939,0.8,6.7,60632
ZCTA5 60633,5618,667,0.9,10.7,60633
ZCTA5 60634,29208,1720,0.9,1.6,60634
ZCTA5 60636,14395,3061,3.2,5.2,60636
ZCTA5 60637,26647,4375,4.2,5.7,60637
ZCTA5 60638,21556,914,1.1,3.4,60638
ZCTA5 60639,28784,2183,1.2,2.9,60639
ZCTA5 60640,40378,3249,0.7,5.7,60640
ZCTA5 60641,27222,2204,1.0,4.2,60641
ZCTA5 60642,11786,742,1.2,4.6,60642
ZCTA5 60643,19769,1572,2.3,4.5,60643
ZCTA5 60644,20506,1949,0.0,2.0,60644
ZCTA5 60645,18315,1315,0.8,7.0,60645
ZCTA5 60646,11503,697,1.2,1.9,60646
ZCTA5 60647,41313,3689,1.2,4.3,60647
ZCTA5 60649,28320,4244,3.4,5.3,60649
ZCTA5 60651,22638,1884,1.2,3.2,60651
ZCTA5 60652,14003,360,0.3,5.9,60652
ZCTA5 60653,18411,1444,1.4,5.9,60653
ZCTA5 60654,17147,2074,2.7,6.0,60654
ZCTA5 60655,11214,542,1.8,5.1,60655
ZCTA5 60656,12883,359,0.0,0.7,60656
ZCTA5 60657,41570,2876,1.3,4.4,60657
ZCTA5 60659,14962,1305,0.6,6.8,60659
ZCTA5 60660,23420,2418,1.4,9.4,60660
ZCTA5 60661,7836,602,2.2,6.4,60661
